freq,power
8075.5,2.39E-05
8076,1.73E-05
8076.5,1.24E-05
8077,1.12E-05
8077.5,1.37E-05
8078,7.77E-06
8078.5,1.03E-05
8079,1.02E-05
8079.5,2.53E-05
8080,2.81E-05
8080.5,2.13E-05
8081,1.97E-05
8081.5,2.35E-05
8082,2.42E-05
8082.5,2.15E-05
8083,2.20E-05
8083.5,2.17E-05
8084,3.30E-05
8084.5,1.74E-05
8085,2.31E-05
8085.5,3.11E-05
8086,2.38E-05
8086.5,3.53E-05
8087,3.52E-05
8087.5,3.08E-05
8088,1.61E-05
8088.5,9.39E-06
8089,1.91E-05
8089.5,1.80E-05
8090,1.09E-05
8090.5,8.74E-06
8091,1.73E-05
8091.5,1.87E-05
8092,1.54E-05
8092.5,2.31E-05
8093,2.22E-05
8093.5,2.37E-05
8094,2.02E-05
8094.5,1.56E-05
8095,2.33E-05
8095.5,2.52E-05
8096,1.06E-05
8096.5,1.37E-05
8097,2.73E-05
8097.5,3.24E-05
8098,4.61E-05
8098.5,3.29E-05
8099,2.98E-05
8099.5,2.40E-05
8100,1.78E-05
8100.5,3.01E-05
8101,2.91E-05
8101.5,2.55E-05
8102,3.62E-05
8102.5,3.31E-05
8103,2.91E-05
8103.5,4.22E-05
8104,3.88E-05
8104.5,2.23E-05
8105,2.70E-05
8105.5,4.89E-05
8106,4.90E-05
8106.5,3.81E-05
8107,2.96E-05
8107.5,3.82E-05
8108,3.38E-05
8108.5,2.30E-05
8109,3.72E-05
8109.5,2.87E-05
8110,2.47E-05
8110.5,1.50E-05
8111,2.30E-05
8111.5,3.48E-05
8112,2.28E-05
8112.5,3.74E-05
8113,4.51E-05
8113.5,4.14E-05
8114,3.60E-05
8114.5,1.11E-05
8115,2.16E-05
8115.5,3.71E-05
8116,3.80E-05
8116.5,4.19E-05
8117,2.74E-05
8117.5,1.50E-05
8118,3.78E-05
8118.5,1.99E-05
8119,8.86E-06
8119.5,1.31E-05
8120,2.12E-05
8120.5,3.21E-05
8121,2.32E-05
8121.5,1.89E-05
8122,1.75E-05
8122.5,3.22E-05
8123,4.11E-05
8123.5,2.74E-05
8124,2.17E-05
8124.5,2.36E-05
8125,2.68E-05
