Frequency [Hz] - Plot 0,nm^2/Hz - Plot 0,temp [K],averages
492,1.98E-05,,
492.5,2.48E-05,,
493,1.87E-05,,
493.5,1.34E-05,,
494,1.08E-05,,
494.5,1.14E-05,,
495,1.43E-05,,
495.5,1.05E-05,,
496,1.20E-05,,
496.5,1.56E-05,,
497,1.52E-05,,
497.5,1.94E-05,,
498,2.21E-05,,
498.5,2.10E-05,,
499,1.49E-05,,
499.5,1.87E-05,,
500,2.06E-05,,
500.5,1.76E-05,,
501,1.06E-05,,
501.5,1.50E-05,,
502,1.65E-05,,
502.5,1.32E-05,,
503,1.59E-05,,
503.5,1.66E-05,,
504,1.01E-05,,
504.5,1.29E-05,,
505,1.38E-05,,
505.5,1.96E-05,,
506,1.84E-05,,
506.5,2.11E-05,,
507,1.83E-05,,
507.5,1.77E-05,,
508,1.57E-05,,
508.5,1.42E-05,,
509,1.66E-05,,
509.5,1.85E-05,,
510,1.12E-05,,
510.5,9.78E-06,,
511,1.41E-05,,
511.5,1.82E-05,,
512,1.59E-05,,
512.5,1.01E-05,,
513,9.67E-06,,
513.5,1.45E-05,,
514,8.72E-06,,
514.5,1.43E-05,,
515,1.41E-05,,
515.5,1.14E-05,,
516,1.76E-05,,
516.5,2.35E-05,,
517,1.74E-05,,
517.5,1.13E-05,,
518,1.27E-05,,
518.5,1.02E-05,,
519,1.13E-05,,
519.5,1.65E-05,,
520,2.23E-05,,
520.5,1.69E-05,,
521,1.54E-05,,
521.5,1.86E-05,,
522,1.02E-05,,
522.5,1.27E-05,,
523,1.61E-05,,
523.5,1.91E-05,,
524,1.08E-05,,
524.5,1.18E-05,,
525,1.53E-05,,
525.5,1.58E-05,,
526,2.07E-05,,
526.5,1.53E-05,,
527,1.56E-05,,
527.5,1.67E-05,,
528,1.72E-05,,
528.5,2.19E-05,,
529,2.44E-05,,
529.5,2.37E-05,,
530,2.30E-05,,
530.5,3.16E-05,,
531,2.54E-05,,
531.5,1.63E-05,,
532,2.07E-05,,
532.5,2.03E-05,,
533,1.05E-05,,
533.5,1.92E-05,,
534,2.45E-05,,
534.5,1.64E-05,,
535,1.32E-05,,
535.5,1.85E-05,,
536,1.96E-05,,
536.5,2.60E-05,,
537,1.14E-05,,
537.5,9.61E-06,,
538,1.96E-05,,
538.5,2.03E-05,,
539,1.65E-05,,
539.5,1.97E-05,,
540,2.24E-05,,
540.5,1.96E-05,,
541,2.07E-05,,
541.5,1.07E-05,,
542,7.66E-06,,
542.5,1.08E-05,,
543,1.57E-05,,
543.5,1.89E-05,,
544,2.22E-05,,
544.5,1.51E-05,,
545,8.03E-06,,
545.5,8.70E-06,,
546,1.42E-05,,
546.5,1.63E-05,,
547,1.60E-05,,
547.5,1.40E-05,,
548,1.40E-05,,
548.5,2.00E-05,,
549,2.39E-05,,
549.5,1.72E-05,,
550,1.65E-05,,
550.5,1.62E-05,,
551,1.99E-05,,
551.5,2.23E-05,,
552,1.52E-05,,
552.5,2.00E-05,,
553,1.38E-05,,
553.5,1.48E-05,,
554,1.92E-05,,
554.5,1.93E-05,,
555,1.18E-05,,
555.5,1.07E-05,,
556,1.80E-05,,
556.5,2.12E-05,,
557,1.40E-05,,
557.5,1.05E-05,,
558,1.20E-05,,
558.5,1.55E-05,,
559,1.27E-05,,
559.5,1.60E-05,,
560,2.02E-05,,
560.5,1.68E-05,,
561,1.49E-05,,
561.5,1.46E-05,,
562,1.45E-05,,
562.5,1.10E-05,,
563,1.69E-05,,
563.5,1.78E-05,,
564,1.67E-05,,
564.5,1.33E-05,,
565,1.21E-05,,
565.5,2.11E-05,,
566,2.20E-05,,
566.5,1.39E-05,,
567,1.57E-05,,
567.5,1.43E-05,,
568,1.40E-05,,
568.5,1.79E-05,,
569,1.47E-05,,
569.5,1.91E-05,,
570,2.08E-05,,
570.5,1.80E-05,,
571,1.06E-05,,
571.5,1.28E-05,,
572,1.70E-05,,
572.5,1.45E-05,,
573,1.19E-05,,
573.5,1.54E-05,,
574,2.31E-05,,
574.5,2.00E-05,,
575,1.14E-05,,
575.5,1.48E-05,,
576,1.87E-05,,
576.5,1.68E-05,,
577,1.26E-05,,
577.5,8.40E-06,,
578,8.18E-06,,
578.5,1.31E-05,,
579,1.40E-05,,
579.5,1.44E-05,,
580,1.50E-05,,
580.5,1.14E-05,,
581,1.15E-05,,
